timestamp,nupl,nup,nul
2024-01-03,0.48621772,0.51195788,0.0257619
2024-01-04,0.49778238,0.51887583,0.02126535
2024-01-05,0.49706391,0.51695114,0.02138504
2024-01-06,0.49468595,0.514738,0.02198759
2024-01-07,0.49397203,0.51603504,0.02188037
2024-01-08,0.52586727,0.53940917,0.01432549
2024-01-09,0.51607727,0.53025598,0.01651421
2024-01-10,0.5209949,0.53317184,0.01521387
2024-01-11,0.516806,0.53397706,0.01557225
2024-01-12,0.47649504,0.50402762,0.02764863
2024-01-13,0.47723892,0.5043259,0.02718629
2024-01-14,0.46300216,0.50076793,0.03169846
2024-01-15,0.47292453,0.50279463,0.02813771
2024-01-16,0.47806314,0.50495907,0.02530667
2024-01-17,0.47317438,0.49936325,0.02722624
2024-01-18,0.45366163,0.48774293,0.03498003
2024-01-19,0.45769517,0.49048544,0.03265814
2024-01-20,0.45838259,0.48984997,0.03248933
2024-01-21,0.45661822,0.49027516,0.03281778
2024-01-22,0.42879521,0.4743437,0.04612626
2024-01-23,0.43366631,0.47681407,0.04312339
2024-01-24,0.43525667,0.47677062,0.04149711
2024-01-25,0.4330649,0.47470079,0.04233634
2024-01-26,0.45788157,0.48990242,0.03064408
2024-01-27,0.46162079,0.49100376,0.02929201
2024-01-28,0.46027139,0.48870478,0.03007653
2024-01-29,0.47564702,0.49611408,0.02476696
2024-01-30,0.46996228,0.49477971,0.02574518
2024-01-31,0.46419663,0.49257459,0.02706373
2024-02-01,0.47061449,0.49472721,0.02504662
2024-02-02,0.47157202,0.49530167,0.0245644
2024-02-03,0.46930598,0.49381559,0.02524857
2024-02-04,0.46381288,0.49056907,0.02710663
2024-02-05,0.46448007,0.49123139,0.02658251
2024-02-06,0.4692588,0.49396566,0.02465655
2024-02-07,0.48369687,0.50299607,0.02072326
2024-02-08,0.49395093,0.51223578,0.01790504
2024-02-09,0.51299437,0.52598899,0.01364888
2024-02-10,0.51881192,0.53169241,0.01229403
2024-02-11,0.52386231,0.53289546,0.0115408
2024-02-12,0.53816468,0.54868841,0.00869145
2024-02-13,0.5352507,0.54589576,0.00904135
2024-02-14,0.5521605,0.55756439,0.00635142
2024-02-15,0.55188029,0.55822389,0.00621289
2024-02-16,0.55307618,0.55938923,0.00591276
2024-02-17,0.54839311,0.55559345,0.00657977
2024-02-18,0.55229427,0.55775726,0.00596618
2024-02-19,0.54760584,0.55390107,0.00648701
2024-02-20,0.5512075,0.55720166,0.00580639
2024-02-21,0.54711552,0.54929138,0.00663291
2024-02-22,0.54095387,0.54825832,0.00730774
2024-02-23,0.53543413,0.54356822,0.00829824
2024-02-24,0.54260302,0.54924732,0.00670583
2024-02-25,0.54375049,0.55065993,0.00641325
2024-02-26,0.5661298,0.56920962,0.00343026
2024-02-27,0.5832599,0.58453518,0.00157795
2024-02-28,0.61417305,0.61478595,0.00016307
2024-02-29,0.60358225,0.6074237,0.00045445
2024-03-01,0.60877554,0.60914226,0.00020173
2024-03-02,0.60589088,0.60708149,0.0002813
2024-03-03,0.61227334,0.60935174,0.00013191
2024-03-04,0.63907749,0.6395134,3.6e-07
2024-03-05,0.60999631,0.62039241,0.00069261
2024-03-06,0.61810873,0.61838644,0.00032138
2024-03-07,0.61942909,0.62137944,0.00013526
2024-03-08,0.62514355,0.62432891,4.908e-05
2024-03-09,0.62495893,0.62561121,2.806e-05
2024-03-10,0.62744436,0.62766656,4.484e-05
2024-03-11,0.64022152,0.64160918,2.759e-05
2024-03-12,0.63505299,0.63486401,0.00018189
2024-03-13,0.63669828,0.63664526,2.354e-05
2024-03-14,0.62631679,0.62769297,0.00074052
2024-03-15,0.61555905,0.61656799,0.00176826
2024-03-16,0.5903101,0.59702823,0.00586284
2024-03-17,0.60784729,0.6131617,0.0022877
2024-03-18,0.60260101,0.60800727,0.00275964
2024-03-19,0.56636543,0.58121859,0.00980594
2024-03-20,0.60377909,0.60669168,0.00243913
2024-03-21,0.58849737,0.59294035,0.00494087
2024-03-22,0.57655026,0.57882943,0.00762285
2024-03-23,0.57352507,0.5849924,0.00638864
2024-03-24,0.59357963,0.5981101,0.00279381
2024-03-25,0.60521345,0.60738528,0.00124518
2024-03-26,0.60502631,0.60529818,0.00093641
2024-03-27,0.601344,0.60384238,0.00118592
2024-03-28,0.60722304,0.60710379,0.00050751
2024-03-29,0.60164427,0.60307071,0.00100093
2024-03-30,0.59974766,0.60207321,0.00117447
2024-03-31,0.60895039,0.6082939,0.00034638
2024-04-01,0.59765201,0.60124685,0.00093815
2024-04-02,0.5706556,0.57675806,0.00565308
2024-04-03,0.57338801,0.58017798,0.00446033
2024-04-04,0.58870746,0.58950927,0.00173963
2024-04-05,0.58442891,0.5866806,0.00223797
2024-04-06,0.59023915,0.59258948,0.00132003
2024-04-07,0.59271242,0.59542456,0.00101627
2024-04-08,0.60472285,0.60505973,0.00025166
2024-04-09,0.58992549,0.5918001,0.00152674
2024-04-10,0.59838446,0.59862047,0.00057319
2024-04-11,0.59435917,0.59607396,0.0008627
2024-04-12,0.57644609,0.58184464,0.00366589
2024-04-13,0.55565936,0.57110539,0.00861135
2024-04-14,0.56746293,0.57340343,0.00571445
2024-04-15,0.55162873,0.56133719,0.01026279
2024-04-16,0.55375418,0.56192997,0.0093268
2024-04-17,0.53544916,0.5513511,0.01502001
2024-04-18,0.55120276,0.560154,0.00948199
2024-04-19,0.55295843,0.56162738,0.00865026
