timestamp,average_dormancy,sa_average_dormancy
2022-03-15,1.68281888,9e-08
2022-03-16,3.51017602,1.8e-07
2022-03-17,5.31501608,2.8e-07
2022-03-18,1.02372527,5e-08
2022-03-19,1.46922307,8e-08
2022-03-20,1.03490151,5e-08
2022-03-21,1.37910265,7e-08
2022-03-22,1.37727647,7e-08
2022-03-23,1.70493419,9e-08
2022-03-24,1.52736535,8e-08
2022-03-25,13.74967625,7.2e-07
2022-03-26,1.74359766,9e-08
2022-03-27,0.90610704,5e-08
2022-03-28,2.09819632,1.1e-07
2022-03-29,8.3269467,4.4e-07
2022-03-30,1.33419118,7e-08
2022-03-31,2.14682005,1.1e-07
2022-04-01,2.18849139,1.2e-07
2022-04-02,0.84428895,4e-08
2022-04-03,1.68843892,9e-08
2022-04-04,3.38504359,1.8e-07
2022-04-05,1.05348625,6e-08
2022-04-06,1.01437013,5e-08
2022-04-07,0.90283425,5e-08
2022-04-08,1.15250552,6e-08
2022-04-09,0.82371838,4e-08
2022-04-10,0.78403029,4e-08
2022-04-11,1.09010636,6e-08
2022-04-12,4.24368985,2.2e-07
2022-04-13,1.37940396,7e-08
2022-04-14,6.78278684,3.6e-07
2022-04-15,0.73593735,4e-08
2022-04-16,0.58377807,3e-08
2022-04-17,0.5176878,3e-08
2022-04-18,0.64605276,3e-08
2022-04-19,1.39511944,7e-08
2022-04-20,1.4815332,8e-08
2022-04-21,7.14037229,3.8e-07
2022-04-22,1.51408616,8e-08
2022-04-23,0.75642992,4e-08
2022-04-24,0.45018876,2e-08
2022-04-25,0.64085942,3e-08
2022-04-26,0.93825672,5e-08
2022-04-27,0.60769885,3e-08
2022-04-28,1.06315391,6e-08
2022-04-29,1.56254334,8e-08
2022-04-30,1.16363548,6e-08
2022-05-01,1.20072915,6e-08
2022-05-02,2.35973755,1.2e-07
2022-05-03,1.47731732,8e-08
2022-05-04,1.67399863,9e-08
2022-05-05,0.8632211,5e-08
2022-05-06,1.15881598,6e-08
2022-05-07,0.5992873,3e-08
2022-05-08,1.32199589,7e-08
2022-05-09,2.41606486,1.3e-07
2022-05-10,1.41636003,7e-08
2022-05-11,3.60814256,1.9e-07
2022-05-12,1.97431204,1e-07
2022-05-13,4.43526878,2.3e-07
2022-05-14,10.51246859,5.5e-07
2022-05-15,1.12364724,6e-08
2022-05-16,1.78513501,9e-08
2022-05-17,2.71906756,1.4e-07
2022-05-18,1.88878017,1e-07
2022-05-19,5.50463355,2.9e-07
2022-05-20,3.60921878,1.9e-07
2022-05-21,2.0940816,1.1e-07
2022-05-22,1.59740923,8e-08
2022-05-23,2.90233384,1.5e-07
2022-05-24,2.73503169,1.4e-07
2022-05-25,3.41379099,1.8e-07
2022-05-26,2.48829328,1.3e-07
2022-05-27,4.06271545,2.1e-07
2022-05-28,1.38308056,7e-08
2022-05-29,2.81750141,1.5e-07
2022-05-30,2.69792726,1.4e-07
2022-05-31,2.93366273,1.5e-07
2022-06-01,3.82156573,2e-07
2022-06-02,9.16738411,4.8e-07
2022-06-03,5.40053341,2.8e-07
2022-06-04,6.10664484,3.2e-07
2022-06-05,1.6246234,9e-08
2022-06-06,2.65307205,1.4e-07
2022-06-07,5.42291829,2.8e-07
2022-06-08,4.2563455,2.2e-07
2022-06-09,4.74964027,2.5e-07
2022-06-10,4.65058708,2.4e-07
2022-06-11,3.59530848,1.9e-07
2022-06-12,3.23460378,1.7e-07
2022-06-13,3.77262955,2e-07
2022-06-14,1.72567885,9e-08
2022-06-15,1.3674123,7e-08
2022-06-16,0.78253079,4e-08
2022-06-17,6.35455503,3.3e-07
2022-06-18,1.67668822,9e-08
2022-06-19,1.1656847,6e-08
2022-06-20,1.47190845,8e-08
2022-06-21,2.53732665,1.3e-07
2022-06-22,2.93027511,1.5e-07
2022-06-23,1.60072774,8e-08
2022-06-24,2.66706466,1.4e-07
2022-06-25,9.46415816,5e-07
2022-06-26,1.21301354,6e-08
2022-06-27,2.37782797,1.2e-07
2022-06-28,2.3028881,1.2e-07
2022-06-29,3.08121537,1.6e-07
2022-06-30,3.19489993,1.7e-07
2022-07-01,1.59577532,8e-08
2022-07-02,1.18586654,6e-08
2022-07-03,2.29641489,1.2e-07
2022-07-04,0.82969377,4e-08
2022-07-05,1.21097829,6e-08
2022-07-06,2.80496033,1.5e-07
2022-07-07,1.64286251,9e-08
2022-07-08,1.81812022,1e-07
2022-07-09,1.83113704,1e-07
2022-07-10,1.19212761,6e-08
2022-07-11,4.18473716,2.2e-07
2022-07-12,1.26339177,7e-08
2022-07-13,0.51432889,3e-08
2022-07-14,2.55007151,1.3e-07
2022-07-15,3.82791326,2e-07
2022-07-16,0.89386085,5e-08
2022-07-17,0.95174387,5e-08
2022-07-18,2.04466836,1.1e-07
2022-07-19,12.3687792,6.5e-07
2022-07-20,3.73425344,2e-07
2022-07-21,9.42407729,4.9e-07
2022-07-22,2.96660742,1.6e-07
2022-07-23,1.96484425,1e-07
2022-07-24,1.72796584,9e-08
2022-07-25,1.80576163,9e-08
2022-07-26,1.18240966,6e-08
2022-07-27,1.14434497,6e-08
2022-07-28,1.21207956,6e-08
2022-07-29,1.34824936,7e-08
2022-07-30,1.37167828,7e-08
2022-07-31,3.04679538,1.6e-07
2022-08-01,0.98173329,5e-08
2022-08-02,1.54610567,8e-08
2022-08-03,1.01415714,5e-08
2022-08-04,2.78822803,1.5e-07
2022-08-05,0.70547823,4e-08
2022-08-06,1.50636118,8e-08
2022-08-07,3.22664737,1.7e-07
2022-08-08,0.81219789,4e-08
2022-08-09,2.53101987,1.3e-07
2022-08-10,3.40311746,1.8e-07
2022-08-11,1.17050921,6e-08
2022-08-12,2.0467197,1.1e-07
2022-08-13,1.3084088,7e-08
2022-08-14,1.58483485,8e-08
2022-08-15,1.08861364,6e-08
2022-08-16,1.02128188,5e-08
2022-08-17,1.58601516,8e-08
2022-08-18,2.48173541,1.3e-07
2022-08-19,1.79835838,9e-08
2022-08-20,0.68156071,4e-08
2022-08-21,0.71926223,4e-08
2022-08-22,1.07789888,6e-08
2022-08-23,0.99303918,5e-08
2022-08-24,1.09363085,6e-08
