timestamp,cdd,sa_cdd,average_sa_cdd,binary_cdd
2023-10-17,7956584.45722016,0.40767935,0.51967094,0
2023-10-18,7907225.59861624,0.40513149,0.51964974,0
2023-10-19,18450283.74065991,0.94526907,0.51972851,1
2023-10-20,9695118.83734844,0.4966917,0.51972425,0
2023-10-21,3870257.15904888,0.19826805,0.51966478,0
2023-10-22,4233104.27372614,0.21684559,0.51960876,0
2023-10-23,14045942.99370196,0.71948327,0.51964573,1
2023-10-24,21180027.71261918,1.08487276,0.51975025,1
2023-10-25,9963648.38389132,0.51032948,0.51974851,0
2023-10-26,14928103.82578624,0.76456789,0.51979376,1
2023-10-27,9632897.69131312,0.4933407,0.51978887,0
2023-10-28,8769682.27921327,0.44910886,0.51977581,0
2023-10-29,6032952.57846624,0.30894319,0.51973686,0
2023-10-30,7374879.06657965,0.37764343,0.51971061,0
2023-10-31,10613736.95002472,0.54346779,0.519715,1
2023-11-01,29630521.52039158,1.51713447,0.51989916,1
2023-11-02,7002853.56333806,0.35854182,0.51986937,0
2023-11-03,7771725.6640072,0.39789028,0.51984686,0
2023-11-04,4308785.72086599,0.22058573,0.51979164,0
2023-11-05,4256823.58347279,0.2179142,0.51973594,0
2023-11-06,4899277.06724361,0.25079232,0.51968633,0
2023-11-07,7233232.39686903,0.37025094,0.51965877,0
2023-11-08,6111297.87057869,0.31280702,0.51962063,0
2023-11-09,21984255.174715,1.1252135,0.51973228,1
2023-11-10,9173202.8112698,0.46948614,0.51972302,0
2023-11-11,4000974.34332436,0.2047601,0.51966497,0
2023-11-12,4163386.6370259,0.21306099,0.51960847,0
2023-11-13,6890983.99355989,0.35263192,0.51957771,0
2023-11-14,6509373.32764176,0.33308908,0.51954336,0
2023-11-15,15755794.28098253,0.8061966,0.51959615,1
2023-11-16,8970682.81586033,0.45899252,0.51958499,0
2023-11-17,6619310.35636322,0.33866633,0.51955168,0
2023-11-18,4197053.89417415,0.21472526,0.51949557,0
2023-11-19,7461686.95228407,0.38172623,0.51947022,0
2023-11-20,9067200.56172313,0.46383674,0.51945998,0
2023-11-21,13272584.65200648,0.67893207,0.51948932,1
2023-11-22,16051383.4066585,0.8210386,0.51954478,1
2023-11-23,3026328.78474365,0.15479357,0.51947771,0
2023-11-24,5341176.82055025,0.27317712,0.51943243,0
2023-11-25,3049900.27587497,0.15598073,0.51936562,0
2023-11-26,6062938.61218344,0.31006176,0.51932715,0
2023-11-27,4487462.46637372,0.22948157,0.51927389,0
2023-11-28,6912950.14302528,0.35350048,0.51924343,0
2023-11-29,6715420.1127691,0.34338466,0.51921113,0
2023-11-30,32581614.61567594,1.66594903,0.51942173,1
2023-12-01,8422562.65864049,0.43063557,0.51940543,0
2023-12-02,4722890.51741868,0.24146603,0.5193544,0
2023-12-03,4470548.65133968,0.22855249,0.51930102,0
2023-12-04,19322329.39456773,0.98778654,0.519387,1
2023-12-05,13436252.03208337,0.68685113,0.51941773,1
2023-12-06,21338734.8501705,1.09077273,0.51952255,1
2023-12-07,10971881.51724717,0.56082938,0.51953013,1
2023-12-08,10296171.76051319,0.52626768,0.51953137,1
2023-12-09,5925241.84217401,0.30284138,0.51949164,0
2023-12-10,4704091.22019086,0.24041715,0.51944048,0
2023-12-11,11816912.25887407,0.60390943,0.51945596,1
2023-12-12,19362531.12726464,0.98948668,0.51954209,1
2023-12-13,6160538.9971238,0.31480808,0.51950458,0
2023-12-14,4861253.08209346,0.24840203,0.51945492,0
2023-12-15,14851651.97925231,0.75885546,0.51949877,1
2023-12-16,8321871.53324234,0.42519116,0.5194815,0
2023-12-17,2781443.29793299,0.14210607,0.51941241,0
2023-12-18,17191547.90588527,0.87828224,0.5194781,1
2023-12-19,10133506.11161111,0.51767404,0.51947777,0
2023-12-20,11614872.57569393,0.59332274,0.51949128,1
2023-12-21,7967708.95095679,0.40699565,0.5194707,0
2023-12-22,16497328.89860436,0.84264887,0.51952981,1
2023-12-23,6578550.39627324,0.33600136,0.51949625,0
2023-12-24,20142027.70151208,1.02870372,0.51958936,1
2023-12-25,4663504.05955258,0.23816625,0.51953791,0
2023-12-26,7916538.94781396,0.40428157,0.51951684,0
2023-12-27,56035830.30603645,2.86151823,0.51994484,1
2023-12-28,9137046.8832325,0.4665732,0.51993509,0
2023-12-29,31195695.83601258,1.59289695,0.5201311,1
2023-12-30,9240003.22703176,0.47178598,0.52012227,0
2023-12-31,5824738.26370895,0.29739092,0.5200816,0
2024-01-01,3817020.29470306,0.19487417,0.52002222,0
2024-01-02,11850927.13860495,0.60501199,0.52003773,1
2024-01-03,10772285.97197844,0.54991762,0.52004318,1
2024-01-04,67832679.89222626,3.46262277,0.52058015,1
2024-01-05,8817181.78973994,0.4500667,0.52056728,0
2024-01-06,3796324.98707876,0.19377202,0.52050767,0
2024-01-07,4644601.25615921,0.23706082,0.52045597,0
2024-01-08,8519968.17889123,0.43484279,0.52044036,0
2024-01-09,13106387.06261024,0.66889257,0.52046743,1
2024-01-10,10854426.99623306,0.55393872,0.52047353,1
2024-01-11,11359761.77989774,0.5796957,0.52048432,1
2024-01-12,12419398.42452351,0.63373566,0.52050496,1
2024-01-13,4086605.71657068,0.20852028,0.52044812,0
2024-01-14,6076271.59671165,0.31003092,0.52040979,0
2024-01-15,6497127.79458486,0.33149231,0.52037539,0
2024-01-16,104688541.722134,5.34113909,0.52125317,1
2024-01-17,25260823.47296316,1.28874053,0.52139289,1
2024-01-18,21981141.89907629,1.12136906,0.5215021,1
2024-01-19,16627511.28210815,0.84821762,0.52156156,1
2024-01-20,3178233.3521112,0.16212352,0.52149616,0
2024-01-21,2571983.03358911,0.13119248,0.52142516,0
2024-01-22,26141988.55723029,1.3333904,0.52157284,1
2024-01-23,22404921.15570736,1.14272257,0.5216858,1
2024-01-24,57749927.58128852,2.94528999,0.52212646,1
2024-01-25,26183164.2700149,1.33528415,0.52227428,1
2024-01-26,16624632.81312189,0.84777886,0.52233344,1
2024-01-27,4942923.92467036,0.25205237,0.52228432,0
2024-01-28,2957204.4215691,0.1507878,0.52221682,0
2024-01-29,13755590.37065266,0.70136219,0.52224936,1
