timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2025-03-25 21:00:00,87902.6500000000,88261.2700000000,87756.0600000000,87795.8000000000,407.9205945300,-514.0308562700,0.9978976600,-0.0070200700,13.2052726700,0.0000006700
2025-03-25 22:00:00,87795.7900000000,87861.3400000000,87216.0200000000,87493.9800000000,609.5869849100,-831.3906373900,0.8958634000,-0.0056639500,13.2052726700,0.0000006700
2025-03-25 23:00:00,87493.9800000000,87554.4100000000,87170.4300000000,87427.8800000000,315.7744274300,27.1473586200,0.9982918400,-0.0040714200,13.2052726700,0.0000006700
2025-03-26 00:00:00,87432.8200000000,87849.6900000000,87257.1000000000,87672.7300000000,173.8086266000,814.1145805600,0.9896159100,-0.0021092800,14.7297455900,0.0000007400
2025-03-26 01:00:00,87669.5400000000,87936.3100000000,87600.0000000000,87863.4100000000,137.4160705200,57.2339595600,0.9999230100,-0.0018176500,14.7297455900,0.0000007400
2025-03-26 02:00:00,87863.4000000000,87863.4100000000,87323.9300000000,87355.0300000000,143.5374317600,21.8445035900,0.9992983700,-0.0014132800,14.7297455900,0.0000007400
2025-03-26 03:00:00,87355.0300000000,87445.4400000000,87057.0000000000,87176.8900000000,158.1013362100,-264.5065557000,0.9555604000,-0.0011778200,14.7297455900,0.0000007400
2025-03-26 04:00:00,87175.6000000000,87483.9500000000,87079.5100000000,87350.4900000000,143.6926101300,24.9105342900,0.9995872500,-0.0008055300,14.7297455900,0.0000007400
2025-03-26 05:00:00,87350.6100000000,87670.4900000000,87238.3500000000,87552.4900000000,158.9967622000,-383.6456002000,0.9941979900,-0.0003936800,14.7297455900,0.0000007400
2025-03-26 06:00:00,87554.3000000000,87968.2100000000,87467.1400000000,87932.6400000000,162.7196309200,211.9221589900,0.9997400200,0.0002045200,14.7297455900,0.0000007400
