datetime,close,premium_index,price_change,z_score,position,trade,pnl,equity,drawdown
675,41780.72,,-185.18,-0.799663882,0,,0,1000000,0
676,41938.62,,157.90000000000146,0.638120399,0,,0,1000000,0
677,41971.53,,32.90999999999622,0.11431062472453025,0,,0,1000000,0
678,41828,,-143.53,-0.625116502,0,,0,1000000,0
679,42034.59,,206.5899999999965,0.8421711062380073,0,,0,1000000,0
680,41969.21,,-65.38,-0.29760443,0,,0,1000000,0
681,42155.41,,186.20000000000437,0.7567204198143889,0,,0,1000000,0
682,42229.57,,74.15999999999622,0.28718167989743953,0,,0,1000000,0
683,42317.22,,87.65000000000146,0.3437157534558262,0,,0,1000000,0
684,42208.37,,-108.85,-0.479779091,0,,0,1000000,0
685,42126.01,,-82.36,-0.368764443,0,,0,1000000,0
686,42152.66,,26.650000000001455,0.088076132,0,,0,1000000,0
687,42046.03,,-106.63,-0.470475485,0,,0,1000000,0
688,42107.83,,61.80000000000291,0.23538322554747584,0,,0,1000000,0
689,42284.34,,176.50999999999476,0.7161114373991851,0,,0,1000000,0
690,42311.54,,27.200000000004366,0.09038108,0,,0,1000000,0
691,42238.56,,-72.98,-0.329454612,0,,0,1000000,0
692,42093.94,,-144.62,-0.629684489,0,,0,1000000,0
693,41992.2,,-101.74,-0.449982407,0,,0,1000000,0
694,41942.8,,-49.4,-0.230635231,0,,0,1000000,0
695,42629.1,,686.2999999999956,2.852546230528823,0,,0,1000000,0
696,43204.58,,575.4800000000032,2.388120283031599,0,,0,1000000,0
697,42990.37,,-214.21,-0.921323197,0,,0,1000000,0
698,43026.32,,35.94999999999709,0.127050698,0,,0,1000000,0
699,43000.88,,-25.44,-0.130223341,0,,0,1000000,0
700,43149.48,,148.60000000000582,0.5991458337658764,0,,0,1000000,0
701,43185.98,,36.5,0.12935564504141264,0,,0,1000000,0
702,43117.08,,-68.9,-0.312356094,0,,0,1000000,0
703,43306.18,,189.09999999999854,0.7688737788447023,0,,0,1000000,0
704,43172.12,,-134.06,-0.585429498,0,,0,1000000,0
705,43449.99,,277.86999999999534,1.1408922895767897,0,,0,1000000,0
706,43619.73,,169.74000000000524,0.6877396302835783,0,,0,1000000,0
